instrument,instrument_name
SH000001,上证综合指数
SH000002,上证A股指数
SH000003,上证B股指数
SH000004,上证工业类指数
SH000005,上证商业类指数
SH000006,上证房地产指数
SH000007,上证公用事业指数
SH000008,上证综合业类指数
SH000009,上证380
SH000010,上证180指数
SH000011,上证基金指数
SH000012,上证国债指数
SH000013,上证企业债指数
SH000015,上证红利指数
SH000016,上证50指数
SH000017,新上证综指
SH000018,上证180金融股指数
SH000019,上证公司治理指数
SH000020,上证中型企业综合指数
SH000021,上证180公司治理指数
SH000022,沪公司债
SH000025,上证180基建指数
SH000026,上证180资源指数
SH000027,上证180交通运输指数
SH000028,上证180成长指数
SH000029,上证180价值指数
SH000030,上证180相对成长指数
SH000031,上证180相对价值指数
SH000032,上证能源行业指数
SH000033,上证原材料行业指数
SH000034,上证工业行业指数
SH000035,上证可选消费行业指数
SH000036,上证主要消费行业指数
SH000037,上证医药卫生行业指数
SH000038,上证金融地产行业指数
SH000039,上证信息技术行业指数
SH000040,上证电信业务行业指数
SH000041,上证公用事业行业指数
SH000042,上证中央企业50指数
SH000043,上证超级大盘指数
SH000044,上证中盘
SH000045,上证小盘
SH000046,上证中小
SH000047,上证全指
SH000048,责任指数
SH000049,上证民企
SH000050,50等权
SH000051,180等权
SH000052,50基本
SH000053,180基本
SH000054,上证海外
SH000056,上证国企
SH000057,全指成长
SH000058,全指价值
SH000059,全R成长
SH000060,全R价值
SH000061,沪企债30
SH000062,上证沪企
SH000063,上证周期
SH000064,非周期
SH000065,上证龙头
SH000066,上证商品
SH000067,上证新兴
SH000068,上证资源
SH000069,消费80
SH000070,能源等权
SH000071,材料等权
SH000072,工业等权
SH000073,可选等权
SH000074,消费等权
SH000075,医药等权
SH000076,金融等权
SH000077,信息等权
SH000078,电信等权
SH000079,公用等权
SH000090,上证流通
SH000091,沪财中小
SH000092,资源50
SH000093,180分层
SH000094,上证上游
SH000095,上证中游
SH000096,上证下游
SH000097,高端装备
SH000098,上证F200
SH000099,上证F300
SH000100,上证F500
SH000101,上证5年期信用债指数
SH000102,沪投资品
SH000103,沪消费品
SH000104,380能源
SH000105,380材料
SH000106,380工业
SH000107,380可选
SH000108,380消费
SH000109,380医药
SH000110,380金融
SH000111,380信息
SH000112,380电信
SH000113,380公用
SH000114,持续产业
SH000115,380等权
SH000116,上证信用债100指数
SH000117,380成长
SH000118,380价值
SH000119,380R成长
SH000120,380R价值
SH000121,医药主题
SH000122,上证农业主题指数
SH000123,上证180动态指数
SH000125,上证180稳定指数
SH000126,消费50
SH000128,380基本
SH000129,180波动
SH000130,380波动
SH000131,上证高新
SH000132,上证100
SH000133,上证150
SH000134,上证银行股指数
SH000135,上证180高贝塔指数
SH000136,上证180低贝塔指数
SH000137,上证380高贝塔指数
SH000138,上证380低贝塔指数
SH000139,上证可转换债券指数
SH000141,上证380动态指数
SH000142,上证380稳定指数
SH000145,上证优势资源产业指数
SH000146,上证优势制造产业指数
SH000147,上证优势消费产业指数
SH000148,上证消费服务领先指数
SH000149,上证180红利指数
SH000150,上证380红利指数
SH000151,上证国有企业红利指数
SH000152,上证中央企业红利指数
SH000153,上证民营企业红利指数
SH000155,上证市值百强指数
SH000158,上证环保产业指数
SH000159,上证沪股通指数
SH000160,上证一带一路主题指数
SH000161,上证中国制造主题指数
SH000162,上证互联网+主题指数
SH000300,沪深300指数
SH000802,500沪市
SH000805,A股资源
SH000806,消费服务
SH000807,食品饮料
SH000808,医药生物
SH000814,细分医药
SH000816,细分地产
SH000817,中证兴证海西主题指数
SH000819,有色金属
SH000821,沪深300红利指数
SH000823,中证800有色
SH000827,中证环保产业指数
SH000828,沪深300高贝塔指数
SH000832,中证可转换债券指数
SH000833,中证1-7年中高收益企债指数
SH000841,中证800制药与生物科技指数
SH000842,中证800等权重指数
SH000846,中证财通中国可持续发展100(ECPIESG)指数
SH000847,中证腾讯济安价值100A股指数
SH000849,沪深300非银行金融指数
SH000850,沪深300有色金属指数
SH000851,百发100指数
SH000852,中证1000指数
SH000853,中证申万一带一路主题投资指数
SH000854,中证500原材料指数
SH000855,央视财经500指数
SH000856,中证500工业指数
SH000857,中证500医药卫生指数
SH000858,中证500信息技术指数
SH000901,中证南方小康产业指数
SH000903,中证A100指数
SH000904,中证200指数
SH000905,中证500指数
SH000906,中证800指数
SH000908,沪深300能源指数
SH000909,沪深300原材料指数
SH000910,沪深300工业指数
SH000911,沪深300可选消费指数
SH000912,沪深300主要消费指数
SH000913,沪深300医药卫生指数
SH000914,沪深300金融地产指数
SH000917,沪深300公用事业指数
SH000918,沪深300成长指数
SH000919,沪深300价值指数
SH000922,中证红利指数
SH000925,中证锐联基本面50指数
SH000928,中证能源指数
SH000931,中证可选消费指数
SH000932,中证主要消费指数
SH000933,中证医药卫生指数
SH000934,中证金融地产指数
SH000935,中证信息技术指数
SH000939,中证民企成长指数
SH000940,中证财富大盘指数
SH000944,中证内地资源主题指数
SH000950,沪深300基建主题指数
SH000951,沪深300银行指数
SH000952,沪深300房地产指数
SH000957,沪深300运输指数
SH000958,中证创业成长指数
SH000959,银河99
SH000961,中证上游资源产业指数
SH000963,中证下游消费与服务产业指数
SH000964,中证新兴产业指数
SH000966,中证锐联基本面400指数
SH000969,沪深300非周期行业指数
SH000971,等权90
SH000973,技术领先
SH000974,中证800金融指数
SH000975,中证钱江30指数
SH000976,新华金牛50指数
SH000977,中证内地低碳经济主题指数
SH000978,中证医药100指数
SH000979,中证大宗商品股票指数
SH000982,中证500等权重指数
SH000983,智能资产
SH000984,沪深300等权重指数
SH000986,中证全指能源指数
SH000987,中证全指原材料指数
SH000989,中证全指可选消费指数
SH000990,中证全指主要消费指数
SH000991,中证全指医药卫生指数
SH000992,中证全指金融地产指数
SH000993,中证全指信息技术指数
SH000996,领先行业
SH000997,大消费
SH000998,中证TMT产业主题指数
SH000999,两岸三地
SH100001,南化转债
SH100009,机场转债
SH100016,民生转债
SH100087,水运转债
SH100096,云化转债
SH100117,西钢转债
SH100177,雅戈转债
SH100196,复星转债
SH100220,阳光转债
SH100236,桂冠转债
SH100567,山鹰转债
SH100726,华电转债
SH100795,国电转债
SH110001,邯钢转债
SH110002,南山转债
SH110003,新钢转债
SH110004,厦工转债
SH110005,西洋转债
SH110006,龙盛转债
SH110007,博汇转债
SH110008,王府转债
SH110009,双良转债
SH110010,包钢转债
SH110011,歌华转债
SH110012,海运转债
SH110013,国投转债
SH110015,石化转债
SH110016,川投转债
SH110017,中海转债
SH110018,国电转债
SH110019,恒丰转债
SH110020,南山转债
SH110021,上电转债
SH110022,同仁转债
SH110023,民生转债
SH110024,隧道转债
SH110025,国金转债
SH110026,中海转债
SH110027,东方转债
SH110028,冠城转债
SH110029,浙能转债
SH110030,格力转债
SH110031,航信转债
SH110032,三一转债
SH110033,国贸转债
SH110034,九州转债
SH110035,白云转债
SH110036,招行转债
SH110037,歌华转债
SH110038,济川转债
SH110039,宝信转债
SH110040,生益转债
SH110041,蒙电转债
SH110042,航电转债
SH110043,无锡转债
SH110044,广电转债
SH110045,海澜转债
SH110046,圆通转债
SH110047,山鹰转债
SH110048,福能转债
SH110049,海尔转债
SH110050,佳都转债
SH110051,中天转债
SH110052,贵广转债
SH110053,苏银转债
SH110054,通威转债
SH110055,伊力转债
SH110056,亨通转债
SH110057,现代转债
SH110058,永鼎转债
SH110059,浦发转债
SH110060,天路转债
SH110061,川投转债
SH110062,烽火转债
